Month;Gold_Price
01-2020;297,01
02-2020;311,84
03-2020;323,97
04-2020;370,68
05-2020;383,33
06-2020;380,63
07-2020;406,2
08-2020;463,85
09-2020;470,95
10-2020;486,61
11-2020;481,49
12-2020;461,2
01-2021;445,85
02-2021;414,3
03-2021;424,74
04-2021;463,69
05-2021;497,66
06-2021;510,94
07-2021;500,83
08-2021;488,65
09-2021;490,29
10-2021;526,26
11-2021;628,24
12-2021;783,37
01-2022;794,85
02-2022;810,16
03-2022;919,57
04-2022;915,49
05-2022;944,36
06-2022;1009,62
07-2022;987,19
08-2022;1029,83
09-2022;997,66
10-2022;1006,89
11-2022;1038,15
12-2022;1092,6
01-2023;1159,68
02-2023;1130,94
03-2023;1181,79
04-2023;1254,07
05-2023;1313,74
06-2023;1501,66
07-2023;1669,9
08-2023;1695,88
09-2023;1710,37
10-2023;1764,89
11-2023;1865,36
12-2023;1943,91
01-2024;2042,78
02-2024;2087,04
03-2024;2346,32
04-2024;2536,29
05-2024;2501,62
06-2024;2455,87
07-2024;2545,15
08-2024;2688,83
09-2024;2851,6
10-2024;3081,6
